,Headline,Country
61,Two large Alabama hospitals require all staff and volunteers get COVID-19 vaccinations,Alabama
62,ADPH: More than 809K positive COVID cases as Delta variant increases,Alabama
63,COVID-19 in Alabama: Timeline of events as pandemic began in March of 2020,Alabama
64,Alabama health officials report COVID-19 deaths surpass births,Alabama
65,"Unvaccinated account for nearly all Alabama COVID-19 deaths, hospitalizations",Alabama
66,COVID-19 hospitalizations spike across Alabama,Alabama
67,Alabama parents' lives turn upside down after 12-year-old son hospitalized with COVID-19,Alabama
68,Alabama limits teen COVID vaccination options after legislators complain,Alabama
69,Outbreak Alabama: Why our bad numbers are getting worse,Alabama
70,Alabama State Health Officer Scott Harris says data showing that vaccines work,Alabama
71,Alabama Department of Public Health launches new COVID-19 dashboard,Alabama
72,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
73,Ivey extends COVID-19 state of emergency to end of October,Alabama
74,COVID-19 surge leads to Alabama Walmart closures,Alabama
75,Alabama moves to Safer Apart COVID-19 order,Alabama
76,Unvaccinated Alabama twirling coach urged vaccinations before dying from COVID-19,Alabama
77,"COVID-19 Vaccination Eligibility to be Expanded in Alabama to Include People Age 55 and Older, People with High-Risk Medical Conditions, Additional Critical Workers and People with Intellectual and Developmental Disabilities",Alabama
78,Alabama launches app to accelerate COVID-19 public health response,Alabama
79,Alabama Prisons Report Dramatic Increase in Covid-19 Cases,Alabama
80,Alabama’s COVID-19 health order to expire May 31,Alabama
81,"9 children in Alabama hospitalized from COVID-19, one on ventilator as Delta spreads",Alabama
82,"COVID-19, One Year Later: an Alabama timeline",Alabama
83,B.1.1.7 COVID-19 variant identified in eight Alabama residents,Alabama
84,ADPH recommends additional COVID-19 vaccine doses for certain people with weakened immune systems,Alabama
85,Fact check: Alabama health system paused COVID-19 vaccine requirement due to federal mandate,Alabama
86,"COVID-19 Vaccines | Opelika & Auburn, Alabama (AL",Alabama
87,Autauga County Schools: 321 Cases of COVID-19 - Alabama News,Alabama
88,‘Now’s not the time to have a heart attack’: South Alabama hospital welcomes federal staffing aid,Alabama
89,Gov. Kay Ivey announces end of Alabama COVID-19 State of Emergency,Alabama
90,Alabama's daily COVID-19 cases trending downward,Alabama
91,Worse this time: Some Alabama restaurants struggling with COVID-19 more than last year,Alabama
92,ADPH: Pike County Still at Very High Risk for COVID-19 - Alabama News,Alabama
93,"Alabama adds 1,144 COVID-19 cases",Alabama
94,Pike County first of Alabama districts to temporarily close schools due to COVID-19 cases,Alabama
95,Alabama AG says schools can’t require proof of COVID-19 vaccine,Alabama
96,'This is not a hoax': Personal COVID-19 loss spurs Alabama family to urge others to vaccinate,Alabama
97,Alabama National Guard begins COVID-19 vaccine clinics in rural counties,Alabama
98,Getting the COVID-19 vaccine in Alabama,Alabama
99,Alabama's public schools continue to see drop in COVID-19 cases,Alabama
100,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
101,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
102,North Alabama lags state in fully vaccinated residents,Alabama
103,"New COVID-19 Variant Emerges, Named ""Omicron"" - Alabama News",Alabama
104,Ivey signs into law Alabama measures targeting federal COVID-19 vaccine mandate,Alabama
105,State health officials weigh in on increasing breakthrough COVID cases,Alabama
106,Alabama prisons to resume visitation after 20 months,Alabama
107,"Live updates: Obama, Fauci encourage vaccinations at clinic - Alabama News",Alabama
108,Pfizer's Coronavirus Vaccine for Kids Arrives in Alabama - Alabama News,Alabama
109,‘Report is all favorable’ Huntsville area COVID-19 hospitalizations drop significantly,Alabama
110,EXPLAINER: What we know and don't know about omicron variant,Alabama
111,"Kids’ turn arrives for COVID-19 vaccine shots in the U.S., Alabama",Alabama
112,Alabama health leaders reminding those who are eligible about booster shot options for COVID-19,Alabama
113,How a vaccine-hesitant sheriff became a vocal proponent,Alabama
114,"UAB doctor says new virus strain has 50 mutations, questions remain about vaccine response",Alabama
115,An FDA panel supports Merck COVID drug in mixed vote,Alabama
116,"Biden: new variant cause for concern, not panic",Alabama
117,Stocks dive over the potential economic fallout from the omicron variant,Alabama
118,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
119,Brittany Davis Shining in Her Return to Action for Alabama Women's Basketball,Alabama
120,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
121,Teen council member hospitalized with COVID after opposing mask mandate in Alabama city,Alabama
122,Amazon Warehouse Workers in Alabama to Get Second Union Vote (2),Alabama
123,Alabama Leads Nation in Coronavirus Positivity Rate - Alabama News,Alabama
124,Alabama doctor says COVID surge is 'all-hands-on-deck moment' for state,Alabama
125,“It’s Playing A Game With Us”: Researcher Says COVID Delta Variant Is Spreading In Alabama,Alabama
126,Outbreak Alabama: Why our bad numbers are getting worse,Alabama
127,‘It’s a tragedy’: State health officer responds to Alabama now leading the country in COVID-19 death rate,Alabama
128,"5 things to know for November 30: Coronavirus, Supply chain, China, Barbados, Twitter",Alabama
129,"12,000 dead in Alabama due to COVID-19",Alabama
130,"7 Things: Alabama averaging over 100 coronavirus deaths per day, America not being put first by Biden at the UN, Ivey optimistic about the special session for prisons and more …",Alabama
131,Delta variant expected to become dominant coronavirus strain in Alabama,Alabama
132,Outbreak Alabama: How the Delta variant and COVID misinformation are harming our state,Alabama
133,"ADPH urges continuation of masking in Alabama schools, more to help reduce cases of coronavirus",Alabama
134,"Florida, Alabama No Longer Reporting Daily Coronavirus Data",Alabama
135,"‘This is an emergency right now’: UAB doctor on Delta variant, rising cases in Alabama",Alabama
136,State: 5 North Alabama counties at ‘Very High Risk’ for coronavirus spread; 3 at ‘Low Risk’,Alabama
137,"A Man Died After Being Turned Away From 43 ICUs At Capacity Due To COVID, Family Says",Alabama
138,Outbreak Alabama: Kay Ivey’s COVID ‘hypocrisy’,Alabama
139,"Marjorie Taylor Greene fans cheered low vaccination rate in Alabama, which tossed 65000 doses",Alabama
140,ADPH: More than 809K positive COVID cases as Delta variant increases,Alabama
141,Governor Ivey Announces Reallocation of $12.3 Million in CARES Act Funds for COVID-19 Nursing Shortage - Office of the Governor of Alabama,Alabama
142,Did America’s first COVID death occur in Alabama? The CDC is investigating,Alabama
143,Alabama ranks last in the nation for getting coronavirus shots into arms,Alabama
144,Alabama doctor says she sees a potentially 'apocalyptic' situation in her state,Alabama
145,'This is not a hoax': Personal COVID-19 loss spurs Alabama family to urge others to vaccinate,Alabama
146,Coronavirus Deaths Mount In Alabama Prisons,Alabama
147,"Alabama schools report 5,970 COVID-19 cases already this school year",Alabama
148,Alabama has highest COVID case positivity rate in the US,Alabama
149,Alabama mask mandate 2021: Masks in schools recommended by state,Alabama
150,"Alabama isn’t reporting school COVID outbreaks, contact tracing. Here’s why.",Alabama
151,Counties with highest COVID-19 infection rates in Alabama,Alabama
152,"COVID-19, One Year Later: an Alabama timeline",Alabama
153,"Alabama schools report 6,382 COVID cases, consider mask changes",Alabama
154,Alabama Gov. Kay Ivey Bans Coronavirus Vaccine Passports,Alabama
155,Anti-mask Rep. Barry Moore of Alabama tests postitive for COVID-19,Alabama
156,"Two-thirds of Alabama parents nervous about COVID vaccine safety, recent survey says",Alabama
157,Alabama hospital implements ‘no visitor’ policy due to rising number of COVID-19 cases,Alabama
158,"9 children in Alabama hospitalized from COVID-19, one on ventilator as Delta spreads",Alabama
159,New CDC mask guidance – what it means for Alabama,Alabama
160,"ADPH adds 11,142 COVID cases after technical issues delay results by 2 days",Alabama
161,An Alabama doctor watched patients reject coronavirus vaccine; now he’s refusing to treat them,Alabama
162,Alabama military base is first in the U.S. to require vaccination proof amid rising covid-19 rates,Alabama
163,COVID-19 mutations rising in Alabama; UK variant 50 percent of cases,Alabama
164,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
165,6 Alabama counties ‘very high risk’ for COVID,Alabama
166,Alabama Official On Vaccine Rollout: 'How Can This Disparity Exist In This Country?',Alabama
167,"As a COVID precaution, Alabama adds temporary morgue space to Mobile area",Alabama
168,Alabama has nation’s 2nd lowest new COVID case rate as mask order ends,Alabama
169,One third of Cullman Alabama school district students absent due to COVID surge: report,Alabama
170,Grant for Cold/Coronavirus Study by ASU,Alabama
171,More Than 65K COVID Vaccines Wasted in Alabama as Delta Variant Surges,Alabama
172,Alabama Coronavirus Numbers Update,Alabama
173,"Outbreak Alabama: Jason Isbell on losing sleep over COVID, getting back on the road",Alabama
174,Ivey Extends 'Limited' COVID-19 Health Emergency to Oct. 31,Alabama
175,Alabama to Lift Mask Mandate in April Amid Coronavirus Pandemic,Alabama
176,ADPH: Alabama Public School COVID-19 Cases Take a Tumble - Alabama News,Alabama
177,"Alabama teachers keep dying from Covid-19, leaving behind grief and frustration inside schools",Alabama
178,Alabama parents' lives turn upside down after 12-year-old son hospitalized with COVID-19,Alabama
179,Alabama health leaders hope college football will help ‘Kick Covid’,Alabama
180,"University of Alabama system: Student vaccine rates, COVID cases increase across all campuses",Alabama
181,COVID-19 in Alabama: 184 new confirmed cases on Monday,Alabama
182,"Where are the snowbirds? Coronavirus, hurricane make difficult winter season for Alabama beaches",Alabama
183,Alabama's COVID state of emergency ends Tuesday,Alabama
184,"Unvaccinated father of 3 dies of COVID in Alabama hospital: ‘Nobody should go through this,’ widow says",Alabama
185,What new COVID-19 mask guidelines mean for Alabama,Alabama
186,"Alabama sees promising decline in COVID-19 cases, hospitalizations",Alabama
187,White House official calls for more aggressive action in Mobile; Alabama offers incentive tied to college football,Alabama
188,"‘Here in Alabama, we don’t put up with that nonsense,’: Ivey to fight Biden Covid-19 vaccine rules",Alabama
189,Alabama schools got $3 billion in federal COVID relief money. Where did it go?,Alabama
190,"Fact or fiction: COVID doesn’t impact children, Alabama pediatrician sets record straight",Alabama
191,"Alabama recovering from COVID faster than other states, economy shows",Alabama
192,"Biden administration won't surge vaccines to virus hotspots; Alabama, Utah lift mask mandates. Latest COVID-19 updates",Alabama
193,Worse this time: Some Alabama restaurants struggling with COVID-19 more than last year,Alabama
194,Percent of positive COVID tests in Alabama at highest level since March 6,Alabama
195,Plummeting Alabama COVID-19 vaccination rate worries health leaders,Alabama
196,Alabama’s coronavirus positivity rate now highest in the nation,Alabama
197,New federal rules reduce Alabama monoclonal antibody treatments for COVID by 18%,Alabama
198,Two large Alabama hospitals require all staff and volunteers get COVID-19 vaccinations,Alabama
199,Alabama girl has fought off COVID-19 multiple times,Alabama
200,COVID-19 omicron variant uncertainty adds to Alabama health officials' list of concerns,Alabama
201,New COVID variant omicron concerns Alabama physicians,Alabama
202,Alabama COVID-19 hospitalizations decline but pandemic still ongoing,Alabama
203,Alabama school first in weeks to go remote due to COVID increases,Alabama
204,Update on Alabama COVID-19 numbers,Alabama
205,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
206,"Former University of Alabama football player battles COVID, encourages others to get vaccinated",Alabama
207,Huntsville schools to keep requiring masks when COVID spread is high,Alabama
208,Omicron: What we know about the new COVID variant,Alabama
209,Infographic: How Omicron compares with other COVID variants,Alabama
210,WHO urges ‘rational’ measures against Omicron variant: Live news,Alabama
211,"Thanksgiving groceries, new rock venue, and COVID in deer: Down in Alabama",Alabama
212,COVID-19 omicron variant uncertainty adds to Alabama's health officials list of concerns,Alabama
213,Few Alabama children 5 to 11 have received COVID-19 vaccine,Alabama
214,Omicron: WHO warns COVID variant risk ‘very high’,Alabama
215,Opinion | Let’s End the Covid Blame Games,Alabama
216,Alabama government building closes due to COVID cases,Alabama
217,Alabama Plans To Spend More Federal COVID Relief Funds On Prisons Than Hospitals. Will Treasury Stop Them?,Alabama
218,"Omicron COVID variant ‘not a cause for panic’, says Biden",Alabama
219,Alabama COVID-19 vaccine exemption bill in position for final passage,Alabama
220,An FDA panel supports Merck COVID drug in mixed vote,Alabama
221,What is omicron? COVID ‘variant of concern’ found in South Africa,Alabama
222,Israel tightens travel restrictions over new COVID variant,Alabama
223,"COVID transmission decreasing across Alabama, health officials cautious ahead of holidays",Alabama
224,"‘Don’t freak out’ about Omicron, says BioNTech CEO",Alabama
225,North Alabama lags state in fully vaccinated residents,Alabama
226,WHO says not yet clear if Omicron causes more severe disease,Alabama
227,"Kids’ turn arrives for COVID-19 vaccine shots in the U.S., Alabama",Alabama
228,"In Alabama, Santa Claus is returning to town after COVID-19, and demand is soaring",Alabama
229,Alabama Enacts Legislation That Restricts COVID-19 Vaccine Mandates,Alabama
230,Unprecedented COVID spread plagues health sector in Syria's Daraa,Alabama
231,"UK, Germany, Italy confirm cases of Omicron coronavirus variant",Alabama
232,Alabama nursing home residents reunited with family for first Thanksgiving without COVID,Alabama
233,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
234,"In Thailand, Myanmar exodus a lifeline for COVID-battered economy",Alabama
235,Pediatric COVID-19 vaccine now available in Alabama,Alabama
236,ADPH: COVID-19 Cases in Alabama Schools Fall Below 700 - Alabama News,Alabama
237,Swiss voters back COVID-19 law amid surge in infections,Alabama
238,Australia detects first COVID Omicron infections,Alabama
239,WHO classifies new COVID variant as ‘of concern’,Alabama
240,‘Absolute chaos’ in South Africa as flights grounded over Omicron,Alabama
241,Spanish leader promises COVID-19 vaccines to Egypt,Alabama
242,Asia tightens borders as Omicron clouds region’s return to travel,Alabama
243,China’s Xi promises 1bn COVID-19 vaccine doses to Africa,Alabama
244,"Reading remedies: This Alabama school battled COVID reading woes through teacher support, training",Alabama
245,Alabama foster care children are getting COVID. Why aren’t they vaccinated?,Alabama
246,🌱 2nd Amazon Union Vote + COVID-19 Omicron Variant,Alabama
247,Omicron detected in 13 air passengers in the Netherlands,Alabama
248,Rich countries must stop blocking the COVID vaccine patent waiver,Alabama
249,"European states expand boosters, tighten curbs amid COVID surge",Alabama
250,Alabama labor lawyer talks about OSHA rule mandating COVID vaccines,Alabama
251,Japan to bar all foreign visitors over Omicron variant,Alabama
252,Morocco suspends all incoming flights over Omicron,Alabama
253,"Alabama House approves $80 million in COVID-19 relief funds for hospitals, nursing homes",Alabama
254,Omicron: Vaccine nationalism will only perpetuate the pandemic,Alabama
255,Alabama Dept. of Corrections Makes COVID-19 Policy Changes - Alabama News,Alabama
256,Brazil’s Bolsonaro dismisses call for COVID travel curbs,Alabama
257,"After early success, Taiwan struggles to exit ‘zero COVID’ policy",Alabama
258,‘False sense of security’ around COVID vaccines: WHO,Alabama
259,Alabama Attorney General Steve Marshall files legal challenge against OSHA COVID-19 vaccine mandate,Alabama
260,Feeling COVID rage? Five strategies for managing pandemic anger,Alabama
261,COVID-hit Czech President Milos Zeman discharged from hospital,Alabama
262,Japan’s factory output grows at fastest pace since 2018,Alabama
263,"Protests erupt over COVID restrictions in Austria, Italy, Croatia",Alabama
264,"‘Vaccinated, cured or dead’: Germany battles surging COVID cases",Alabama
265,Iraq approves booster dose of COVID-19 vaccines,Alabama
266,COVID survivor recovers despite doctors telling her she won’t make it,Alabama
267,"Philippines starts three-day, nine million person COVID jab drive",Alabama
268,"COVID cases rising in the Americas, following Europe, PAHO warns",Alabama
269,"Omicron poses risks to global growth, inflation: Rating agencies",Alabama
270,COVID protests in Netherlands turn violent for a second night,Alabama
271,🌱 Omicron COVID-19 Variant + Shootout In Bessemer,Alabama
272,Young children are beginning to get vaccinated against COVID-19,Alabama
273,Labor group says Amazon massively underreported Covid cases contracted at work,Alabama
274,Stocks sink on fears over new coronavirus strain,Alabama
275,Aramco CEO says oil markets overreacted to new COVID-19 variant -Al Arabiya TV,Alabama
276,Infographic: Vaccinating children against COVID,Alabama
277,India’s economic recovery strengthens in Q2 but Omicron looms,Alabama
278,Stocks dive over the potential economic fallout from the omicron variant,Alabama
279,Omicron: Are gov’ts prepared to deal with a new COVID variant?,Alabama
280,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
281,US consumer confidence falls in November as inflation bites,Alabama
282,“It’s Playing A Game With Us”: Researcher Says COVID Delta Variant Is Spreading In Alabama,Alabama
283,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
284,"3,891 COVID cases added in Alabama; latest county-by-county numbers",Alabama
285,"Alabama verifies more than 1,000 new COVID-19 deaths in past week",Alabama
286,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
287,"Alabama schools report 5,970 COVID-19 cases already this school year",Alabama
288,Outbreak Alabama: Why our bad numbers are getting worse,Alabama
289,"Alabama isn’t reporting school COVID outbreaks, contact tracing. Here’s why.",Alabama
290,"5 things to know for November 30: Coronavirus, Supply chain, China, Barbados, Twitter",Alabama
291,Did America’s first COVID death occur in Alabama? The CDC is investigating,Alabama
292,Alabama Wants to Use $400 Million in COVID Relief Money to Build More Prisons,Alabama
293,Outbreak Alabama: Here’s why our COVID numbers are so bad again,Alabama
294,Outbreak Alabama: How the Delta variant and COVID misinformation are harming our state,Alabama
295,"Alabama schools report 6,382 COVID cases, consider mask changes",Alabama
296,Alabama has highest COVID case positivity rate in the US,Alabama
297,6 Alabama counties ‘very high risk’ for COVID,Alabama
298,Alabama offering COVID-19 booster shots for immunocompromised - WVUA23,Alabama
299,"Alabama sees promising decline in COVID-19 cases, hospitalizations",Alabama
300,Alaska COVID-19 case counts and hospitalizations continue to drop as health officials watch global emergence of omicron variant,Alaska
301,"COVID-19 DATA SUMMARY – Nov. 30, 2021",Alaska
302,Dozens of Alaska doctors are asking the State Medical Board to investigate physicians spreading COVID-19 misinformation,Alaska
303,An Alaska Railroad vaccine clinic honored a longtime engineer who died from COVID-19. A friend said it was a fitting tribute for a man who regretted not getting the shot.,Alaska
304,Alaska health officials share recommendations for second holiday season with COVID-19,Alaska
305,10 states including Alaska sue feds over COVID-19 vaccine mandate for health care workers,Alaska
306,"Anchorage Mayor Bronson encourages, speaks at COVID-19 event featuring prominent vaccine skeptics",Alaska
307,"Relief, excitement and some anxiety as newly eligible Alaska children receive COVID-19 vaccine",Alaska
308,"Alaska's top doc calls out COVID misinformation, calls for understanding and unity",Alaska
309,"Older Alaskans outpace nation in COVID-19 booster doses, health officials say",Alaska
310,A computer glitch led to incorrect COVID test results and short-lived panic for some Anchorage residents,Alaska
311,Canadian border relaxes COVID testing rules for residents returning from short trips to the U.S.,Alaska
312,Major COVID outbreak puts Savoonga into lockdown,Alaska
313,Take-home COVID-19 rapid tests will be available to incoming travelers at Anchorage International Airport starting this week,Alaska
314,Strong friendships help a breakthrough COVID-19 case pass without serious complications,Alaska
315,Alaska Governor orders state agencies to ignore federal vaccine mandates,Alaska
316,Alaska Voices: Vaccination is the still best protection from COVID-19,Alaska
317,Health officials urge caution and calm amid new variant,Alaska
318,"Alaska News Nightly: Monday, November 29, 2021",Alaska
319,Right-wing Wasilla legislator Christopher Kurka will run for Alaska governor in 2022,Alaska
320,1 (802) 731-7070 Alaska Airlines Cancellation Policy | Refund Policy | Test | laconiadailysun.com,Alaska
321,The U.S. restricts travel from 8 countries as omicron variant spreads,Alaska
322,"Broadband Task Force Report, Comprehensive and Timely – Mike Dunleavy",Alaska
323,Feeling grateful this Thanksgiving for the COVID-19 vaccines,Alaska
324,Why some researchers think the omicron variant could be the most infectious one yet,Alaska
325,COVID-19 cases in B.C. ICUs at low since August,Alaska
326,'No one's having a ton of fun': Many Alaska cannabis businesses are struggling and failing,Alaska
327,"The omicron variant is cause for concern — but not panic, Biden says",Alaska
328,YK Delta continues to report some of the highest COVID-19 case rates in the nation,Alaska
329,School district will hear updates on COVID-19 guidelines Dec. 8,Alaska
330,Over 100 cultural organizations in Alaska to receive grant funding,Alaska
331,G7 health ministers closely monitoring new Omicron variant of COVID-19,Alaska
332,Wrangell resident dies of COVID-19,Alaska
333,"Citing 'misleading' statements on masks and COVID-19, Alaska pediatrician group questions whether Anchorage's chief medical officer is fit for the role",Alaska
334,+1-800-351-6976 Change Alaska Airlines Flight Ticket | Reschedule | | laconiadailysun.com,Alaska
335,A mom's and a pediatrician's view on COVID-19 vaccines for children,Alaska
336,"Alaska reports 686 COVID-19 cases Thursday, and state confirms 5 recent deaths at Ketchikan Pioneer Home",Alaska
337,Omicron brings COVID-19 vaccine inequity 'home to roost',Alaska
338,Dunleavy again turns down COVID-19 emergency requested by House Democrats and independents,Alaska
339,"As COVID cases surge in Alaska, political strife escalates between Gov. Mike Dunleavy and his challengers",Alaska
340,Sitka grapples with spread of COVID-19 as one resident dies and Alaska sees almost 500 new infections,Alaska
341,"Loretta Marvin Obituary (1937 - 2021) - Juneau, AK - Juneau Empire",Alaska
342,"Harvey Newport Obituary (1948 - 2021) - Juneau, AK - Juneau Empire",Alaska
343,Omicron 'an animal of its own',Alaska
344,"As U.S. races to detect and track omicron, patchwork surveillance makes that tough",Alaska
345,"The North Slope has some of the lowest vaccination rates in Alaska. Now, it's seeing COVID-19 surge.",Alaska
346,Germany latest country to pass 100000 deaths from COVID-19,Alaska
347,Alaska announces weekly $49000 lottery to encourage COVID-19 vaccination,Alaska
348,Anchorage's public health manager resigns as city faces worst COVID-19 surge of the pandemic,Alaska
349,"Amid one of the nation's worst COVID-19 outbreaks, Anchorage officials say they're rationing testing",Alaska
350,Alaska Department of Health and Social Services,Alaska
351,Tracking COVID-19 in Alaska: 86 cases and 3 deaths reported Tuesday and Wednesday,Alaska
352,Tracking COVID-19 in Alaska: 41 cases and no deaths reported Friday,Alaska
353,"Reasons to get vaccinated against COVID-19, Alaska Department of Health and Social Services",Alaska
354,"In Interior Alaska, severe COVID-19 cases surge while vaccinations lag",Alaska
355,"Gov. Dunleavy fully vaccinated against COVID-19, Alaska chief medical officer says",Alaska
356,Salmon processors boost prices amid favorable markets for sockeye,Alaska
357,Alaska Capitol's new COVID-19 policy requires testing but isn't enforced,Alaska
358,The COVID-19 delta variant is causing worry worldwide. Here's the latest on Alaska's outlook.,Alaska
359,COVID-19 Clinical Update,Alaska
360,"As COVID-19 cases rise, Anchorage Mayor Bronson says he won't enact restrictions and doesn't plan to get vaccinated",Alaska
361,"Governor Dunleavy Ends Alaska COVID-19 Emergency Declaration, Signs House Bill 76 – Mike Dunleavy",Alaska
362,Watch live: Gov. Dunleavy holds COVID-19 briefing at 1 pm Wednesday,Alaska
363,Dunleavy Announces COVID-19 Vaccine Available to All Alaskans – Mike Dunleavy,Alaska
364,Gov. Dunleavy must do more to help Alaska combat COVID-19,Alaska
365,"Breakthrough COVID cases are rising in Alaska. Here's why, and why vaccines are still 'amazing.'",Alaska
366,Update: Lawmakers stop working on bill to aid Alaska hospitals facing COVID-19 surge,Alaska
367,Contact Tracting,Alaska
368,Kenai Peninsula Borough mayor promotes debunked treatment for COVID-19,Alaska
369,Alaska reports 55 COVID-19 cases in 2 days as state alert level drops to low for first time in nearly a year,Alaska
370,Bristol Bay likely experiencing widespread community transmission of COVID-19,Alaska
371,Alaska pediatricians criticize Anchorage's chief medical officer over 'grossly misleading' comments on COVID,Alaska
372,"Alaska reports 2 deaths, 84 COVID-19 cases Wednesday as kids as young as 12 officially become eligible for vaccine",Alaska
373,Western Alaska villages of Stebbins and St. Michael wrestle with ongoing COVID-19 outbreaks,Alaska
374,Delayed shipments of monoclonal antibodies stress supply of time-dependent COVID-19 drug for some in Alaska,Alaska
375,Spike of COVID-19 cases in Noatak leads to lockdown and temporary school closure,Alaska
376,"'Uncharted territory': Cheers, deep frustration as Alaska loses state COVID-19 emergency declaration",Alaska
377,State encourages vaccinated Alaskans in places with high rates of COVID-19 transmission to mask up again,Alaska
