,Headline,Country
61,Amazon Workers in Alabama Get New Shot at Union After NLRB Rules Company Broke the Law in 1st Vote,Alabama
62,Alabama braces for post-Labor Day COVID-19 case rise,Alabama
63,Two large Alabama hospitals require all staff and volunteers get COVID-19 vaccinations,Alabama
64,ADPH: More than 809K positive COVID cases as Delta variant increases,Alabama
65,"Unvaccinated account for nearly all Alabama COVID-19 deaths, hospitalizations",Alabama
66,COVID-19 in Alabama: Timeline of events as pandemic began in March of 2020,Alabama
67,COVID-19 hospitalizations spike across Alabama,Alabama
68,Alabama parents' lives turn upside down after 12-year-old son hospitalized with COVID-19,Alabama
69,Alabama limits teen COVID vaccination options after legislators complain,Alabama
70,Alabama State Health Officer Scott Harris says data showing that vaccines work,Alabama
71,Alabama health officials report COVID-19 deaths surpass births,Alabama
72,Alabama Department of Public Health launches new COVID-19 dashboard,Alabama
73,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
74,Ivey extends COVID-19 state of emergency to end of October,Alabama
75,COVID-19 surge leads to Alabama Walmart closures,Alabama
76,Alabama moves to Safer Apart COVID-19 order,Alabama
77,COVID-19 booster shot eligibility expands to additional individuals and vaccines,Alabama
78,Unvaccinated Alabama twirling coach urged vaccinations before dying from COVID-19,Alabama
79,"COVID-19 Vaccination Eligibility to be Expanded in Alabama to Include People Age 55 and Older, People with High-Risk Medical Conditions, Additional Critical Workers and People with Intellectual and Developmental Disabilities",Alabama
80,Alabama launches app to accelerate COVID-19 public health response,Alabama
81,Alabama Prisons Report Dramatic Increase in Covid-19 Cases,Alabama
82,Alabama’s COVID-19 health order to expire May 31,Alabama
83,"9 children in Alabama hospitalized from COVID-19, one on ventilator as Delta spreads",Alabama
84,"COVID-19, One Year Later: an Alabama timeline",Alabama
85,ADPH recommends additional COVID-19 vaccine doses for certain people with weakened immune systems,Alabama
86,B.1.1.7 COVID-19 variant identified in eight Alabama residents,Alabama
87,Fact check: Alabama health system paused COVID-19 vaccine requirement due to federal mandate,Alabama
88,"COVID-19 Vaccines | Opelika & Auburn, Alabama (AL",Alabama
89,Autauga County Schools: 321 Cases of COVID-19 - Alabama News,Alabama
90,‘Now’s not the time to have a heart attack’: South Alabama hospital welcomes federal staffing aid,Alabama
91,Gov. Kay Ivey announces end of Alabama COVID-19 State of Emergency,Alabama
92,Alabama's daily COVID-19 cases trending downward,Alabama
93,Worse this time: Some Alabama restaurants struggling with COVID-19 more than last year,Alabama
94,Frequently Asked Questions,Alabama
95,ADPH: Pike County Still at Very High Risk for COVID-19 - Alabama News,Alabama
96,"Alabama adds 1,144 COVID-19 cases",Alabama
97,Pike County first of Alabama districts to temporarily close schools due to COVID-19 cases,Alabama
98,Alabama AG says schools can’t require proof of COVID-19 vaccine,Alabama
99,Alabama National Guard begins COVID-19 vaccine clinics in rural counties,Alabama
100,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
101,Are Alabama hospitals prepared for new COVID variant and possible surge?,Alabama
102,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
103,Ivey signs into law Alabama measures targeting federal COVID-19 vaccine mandate,Alabama
104,North Alabama lags state in fully vaccinated residents,Alabama
105,"New COVID-19 Variant Emerges, Named ""Omicron"" - Alabama News",Alabama
106,State health officials weigh in on increasing breakthrough COVID cases,Alabama
107,Live updates: US reports first known case of omicron variant - Alabama News,Alabama
108,Pfizer's Coronavirus Vaccine for Kids Arrives in Alabama - Alabama News,Alabama
109,‘Report is all favorable’ Huntsville area COVID-19 hospitalizations drop significantly,Alabama
110,Prison visits in Alabama to restart after almost two-year pause | TheHill,Alabama
111,Alabama health leaders reminding those who are eligible about booster shot options for COVID-19,Alabama
112,"Summer COVID surge cost Alabama hospitals at least $200 million, legislature has offered some help",Alabama
113,"Daily News Digest - December 1, 2021",Alabama
114,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
115,An FDA panel supports Merck COVID drug in mixed vote,Alabama
116,Stocks dive over the potential economic fallout from the omicron variant,Alabama
117,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
118,Teen council member hospitalized with COVID after opposing mask mandate in Alabama city,Alabama
119,Alabama Leads Nation in Coronavirus Positivity Rate - Alabama News,Alabama
120,Alabama doctor says COVID surge is 'all-hands-on-deck moment' for state,Alabama
121,“It’s Playing A Game With Us”: Researcher Says COVID Delta Variant Is Spreading In Alabama,Alabama
122,Stocks tumble as investors weighed potential effects from omicron variant,Alabama
123,‘It’s a tragedy’: State health officer responds to Alabama now leading the country in COVID-19 death rate,Alabama
124,"12,000 dead in Alabama due to COVID-19",Alabama
125,"7 Things: Alabama averaging over 100 coronavirus deaths per day, America not being put first by Biden at the UN, Ivey optimistic about the special session for prisons and more …",Alabama
126,Delta variant expected to become dominant coronavirus strain in Alabama,Alabama
127,Amazon workers in Alabama will get another shot to unionise,Alabama
128,Outbreak Alabama: How the Delta variant and COVID misinformation are harming our state,Alabama
129,"ADPH urges continuation of masking in Alabama schools, more to help reduce cases of coronavirus",Alabama
130,"Florida, Alabama No Longer Reporting Daily Coronavirus Data",Alabama
131,"‘This is an emergency right now’: UAB doctor on Delta variant, rising cases in Alabama",Alabama
132,State: 5 North Alabama counties at ‘Very High Risk’ for coronavirus spread; 3 at ‘Low Risk’,Alabama
133,"A Man Died After Being Turned Away From 43 ICUs At Capacity Due To COVID, Family Says",Alabama
134,Outbreak Alabama: Kay Ivey’s COVID ‘hypocrisy’,Alabama
135,"Marjorie Taylor Greene fans cheered low vaccination rate in Alabama, which tossed 65000 doses",Alabama
136,ADPH: More than 809K positive COVID cases as Delta variant increases,Alabama
137,Governor Ivey Announces Reallocation of $12.3 Million in CARES Act Funds for COVID-19 Nursing Shortage - Office of the Governor of Alabama,Alabama
138,Did America’s first COVID death occur in Alabama? The CDC is investigating,Alabama
139,Alabama ranks last in the nation for getting coronavirus shots into arms,Alabama
140,Alabama doctor says she sees a potentially 'apocalyptic' situation in her state,Alabama
141,Coronavirus Deaths Mount In Alabama Prisons,Alabama
142,Alabama mask mandate 2021: Masks in schools recommended by state,Alabama
143,Alabama has highest COVID case positivity rate in the US,Alabama
144,"Alabama isn’t reporting school COVID outbreaks, contact tracing. Here’s why.",Alabama
145,Counties with highest COVID-19 infection rates in Alabama,Alabama
146,"COVID-19, One Year Later: an Alabama timeline",Alabama
147,"Alabama schools report 6,382 COVID cases, consider mask changes",Alabama
148,"‘It breaks my heart’ that Alabama could lose children to a preventable virus, doctor says",Alabama
149,Alabama Gov. Kay Ivey Bans Coronavirus Vaccine Passports,Alabama
150,Anti-mask Rep. Barry Moore of Alabama tests postitive for COVID-19,Alabama
151,"Two-thirds of Alabama parents nervous about COVID vaccine safety, recent survey says",Alabama
152,Alabama Lawsuit: COVID-19 Vaccine Mandate Will Lead State Employees to Quit - Alabama News,Alabama
153,Panel discusses workplace coronavirus clinics in West Alabama,Alabama
154,Alabama hospital implements ‘no visitor’ policy due to rising number of COVID-19 cases,Alabama
155,"9 children in Alabama hospitalized from COVID-19, one on ventilator as Delta spreads",Alabama
156,New CDC mask guidance – what it means for Alabama,Alabama
157,"ADPH adds 11,142 COVID cases after technical issues delay results by 2 days",Alabama
158,An Alabama doctor watched patients reject coronavirus vaccine; now he’s refusing to treat them,Alabama
159,Alabama military base is first in the U.S. to require vaccination proof amid rising covid-19 rates,Alabama
160,COVID-19 mutations rising in Alabama; UK variant 50 percent of cases,Alabama
161,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
162,6 Alabama counties ‘very high risk’ for COVID,Alabama
163,"As a COVID precaution, Alabama adds temporary morgue space to Mobile area",Alabama
164,Alabama has nation’s 2nd lowest new COVID case rate as mask order ends,Alabama
165,Alabama Official On Vaccine Rollout: 'How Can This Disparity Exist In This Country?',Alabama
166,One third of Cullman Alabama school district students absent due to COVID surge: report,Alabama
167,Grant for Cold/Coronavirus Study by ASU,Alabama
168,"Alabama schools report 5,970 COVID-19 cases already this school year",Alabama
169,More Than 65K COVID Vaccines Wasted in Alabama as Delta Variant Surges,Alabama
170,Alabama Coronavirus Numbers Update,Alabama
171,"Outbreak Alabama: Jason Isbell on losing sleep over COVID, getting back on the road",Alabama
172,Ivey Extends 'Limited' COVID-19 Health Emergency to Oct. 31,Alabama
173,Alabama to Lift Mask Mandate in April Amid Coronavirus Pandemic,Alabama
174,ADPH: Alabama Public School COVID-19 Cases Take a Tumble - Alabama News,Alabama
175,"Alabama teachers keep dying from Covid-19, leaving behind grief and frustration inside schools",Alabama
176,Alabama parents' lives turn upside down after 12-year-old son hospitalized with COVID-19,Alabama
177,Alabama health leaders hope college football will help ‘Kick Covid’,Alabama
178,"University of Alabama system: Student vaccine rates, COVID cases increase across all campuses",Alabama
179,COVID-19 in Alabama: 184 new confirmed cases on Monday,Alabama
180,"Where are the snowbirds? Coronavirus, hurricane make difficult winter season for Alabama beaches",Alabama
181,Alabama's COVID state of emergency ends Tuesday,Alabama
182,"Unvaccinated father of 3 dies of COVID in Alabama hospital: ‘Nobody should go through this,’ widow says",Alabama
183,What new COVID-19 mask guidelines mean for Alabama,Alabama
184,"Alabama sees promising decline in COVID-19 cases, hospitalizations",Alabama
185,"‘Here in Alabama, we don’t put up with that nonsense,’: Ivey to fight Biden Covid-19 vaccine rules",Alabama
186,Alabama schools got $3 billion in federal COVID relief money. Where did it go?,Alabama
187,"Fact or fiction: COVID doesn’t impact children, Alabama pediatrician sets record straight",Alabama
188,'This is not a hoax': Personal COVID-19 loss spurs Alabama family to urge others to vaccinate,Alabama
189,"Alabama recovering from COVID faster than other states, economy shows",Alabama
190,"Biden administration won't surge vaccines to virus hotspots; Alabama, Utah lift mask mandates. Latest COVID-19 updates",Alabama
191,Worse this time: Some Alabama restaurants struggling with COVID-19 more than last year,Alabama
192,Percent of positive COVID tests in Alabama at highest level since March 6,Alabama
193,Plummeting Alabama COVID-19 vaccination rate worries health leaders,Alabama
194,New federal rules reduce Alabama monoclonal antibody treatments for COVID by 18%,Alabama
195,Alabama’s coronavirus positivity rate now highest in the nation,Alabama
196,Two large Alabama hospitals require all staff and volunteers get COVID-19 vaccinations,Alabama
197,Alabama girl has fought off COVID-19 multiple times,Alabama
198,Whitmire: Alabama state school board reacts to COVID — by banning Critical Race Theory,Alabama
199,Alabama limits teen COVID vaccination options after legislators complain,Alabama
200,Are Alabama hospitals prepared for new COVID variant and possible surge?,Alabama
201,"Omicron travel bans harming global cooperation, WHO warns",Alabama
202,COVID-19 omicron variant uncertainty adds to Alabama health officials' list of concerns,Alabama
203,New COVID variant omicron concerns Alabama physicians,Alabama
204,Alabama COVID-19 hospitalizations decline but pandemic still ongoing,Alabama
205,"Founder of Alabama’s first Christian network, COVID vaccine skeptic dies of COVID",Alabama
206,Alabama school first in weeks to go remote due to COVID increases,Alabama
207,Update on Alabama COVID-19 numbers,Alabama
208,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
209,"Former University of Alabama football player battles COVID, encourages others to get vaccinated",Alabama
210,Huntsville schools to keep requiring masks when COVID spread is high,Alabama
211,Fauci: First US Case of COVID-19 Omicron Variant Identified - Alabama News,Alabama
212,"Thanksgiving groceries, new rock venue, and COVID in deer: Down in Alabama",Alabama
213,Mobile health official returns to Facebook for COVID-19 update as omicron enters the U.S.,Alabama
214,Alabama government building closes due to COVID cases,Alabama
215,Few Alabama children 5 to 11 have received COVID-19 vaccine,Alabama
216,Germany reports highest daily COVID-19 death toll in nine months,Alabama
217,Alabama COVID-19 vaccine exemption bill in position for final passage,Alabama
218,Infographic: How Omicron compares with other COVID variants,Alabama
219,Omicron: What we know about the new COVID variant,Alabama
220,India asks states to step up COVID testing over Omicron,Alabama
221,"COVID transmission decreasing across Alabama, health officials cautious ahead of holidays",Alabama
222,Omicron: WHO warns COVID variant risk ‘very high’,Alabama
223,"Omicron COVID variant ‘not a cause for panic’, says Biden",Alabama
224,Israel tightens travel restrictions over new COVID variant,Alabama
225,"Kids’ turn arrives for COVID-19 vaccine shots in the U.S., Alabama",Alabama
226,"‘Don’t freak out’ about Omicron, says BioNTech CEO",Alabama
227,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
228,US health panel endorses Merck’s COVID-19 pill,Alabama
229,Countries tighten travel rules to try to slow Omicron spread,Alabama
230,Alabama nursing home residents reunited with family for first Thanksgiving without COVID,Alabama
231,"Saudi Arabia, UAE detect first cases of new coronavirus variant",Alabama
232,"‘Everyone wants Santa’: In Alabama, Santa Claus is returning to town after COVID-19, and demand is soaring",Alabama
233,"New COVID-19 Variant Emerges, Named ""Omicron"" - Alabama News",Alabama
234,ADPH: COVID-19 Cases in Alabama Schools Fall Below 700 - Alabama News,Alabama
235,"In Thailand, Myanmar exodus a lifeline for COVID-battered economy",Alabama
236,North Alabama lags state in fully vaccinated residents,Alabama
237,Alabama Enacts Legislation That Restricts COVID-19 Vaccine Mandates,Alabama
238,Swiss voters back COVID-19 law amid surge in infections,Alabama
239,Australia detects first COVID Omicron infections,Alabama
240,Michigan experiences its 4th COVID surge — the nation's highest case rate,Alabama
241,"Reading remedies: This Alabama school battled COVID reading woes through teacher support, training",Alabama
242,Alabama labor lawyer talks about OSHA rule mandating COVID vaccines,Alabama
243,‘Absolute chaos’ in South Africa as flights grounded over Omicron,Alabama
244,Rich countries must stop blocking the COVID vaccine patent waiver,Alabama
245,"Alabama House approves $80 million in COVID-19 relief funds for hospitals, nursing homes",Alabama
246,Unprecedented COVID spread plagues health sector in Syria's Daraa,Alabama
247,Omicron detected in 13 air passengers in the Netherlands,Alabama
248,WHO classifies new COVID variant as ‘of concern’,Alabama
249,🌱 2nd Amazon Union Vote + COVID-19 Omicron Variant,Alabama
250,Alabama Attorney General Steve Marshall files legal challenge against OSHA COVID-19 vaccine mandate,Alabama
251,Omicron: Vaccine nationalism will only perpetuate the pandemic,Alabama
252,Japan to bar all foreign visitors over Omicron variant,Alabama
253,"Covid-19 mRNA Vaccines — Six of One, Half a Dozen of the Other | NEJM",Alabama
254,Feeling COVID rage? Five strategies for managing pandemic anger,Alabama
255,"Protests erupt over COVID restrictions in Austria, Italy, Croatia",Alabama
256,Iraq approves booster dose of COVID-19 vaccines,Alabama
257,Spanish leader promises COVID-19 vaccines to Egypt,Alabama
258,"European states expand boosters, tighten curbs amid COVID surge",Alabama
259,‘False sense of security’ around COVID vaccines: WHO,Alabama
260,COVID-hit Czech President Milos Zeman discharged from hospital,Alabama
261,"Opening remarks of Dr Ahmed Al-Mandhari, WHO Regional Director for the Eastern Mediterranean, at the COVID-19 press briefing, 1 December 2021 - World",Alabama
262,COVID protests in Netherlands turn violent for a second night,Alabama
263,Covid-19: UAE reduces PCR test validity for green pass on Al Hosn app,Alabama
264,"After early success, Taiwan struggles to exit ‘zero COVID’ policy",Alabama
265,Labor group says Amazon massively underreported Covid cases contracted at work,Alabama
266,El Al to return Israelis stuck in Morocco due to new COVID variant,Alabama
267,"Omicron poses risks to global growth, inflation: Rating agencies",Alabama
268,India’s economic recovery strengthens in Q2 but Omicron looms,Alabama
269,COVID survivor recovers despite doctors telling her she won’t make it,Alabama
270,Brazil’s Bolsonaro dismisses call for COVID travel curbs,Alabama
271,Prison visits in Alabama to restart after almost two-year pause | TheHill,Alabama
272,Japan’s factory output grows at fastest pace since 2018,Alabama
273,India’s cryptocurrency enthusiasts call New Delhi’s bluff on ban,Alabama
274,Infographic: Vaccinating children against COVID,Alabama
275,Visa CEO: COVID caused permanent shift to digital payments,Alabama
276,Aramco CEO says oil markets overreacted to new COVID-19 variant -Al Arabiya TV,Alabama
277,Receipt of mRNA Vaccine against Covid-19 and Myocarditis | NEJM,Alabama
278,WHO members agree to start drafting global pandemic convention,Alabama
279,Raiders sign LS Carson Tinker with Trent Sieg on reserve/COVID-19 list,Alabama
280,Young children are beginning to get vaccinated against COVID-19,Alabama
281,COVID-19: Campaign to vaccinate expats to be launched in South Al Batinah | Times of Oman,Alabama
282,China’s role in African development,Alabama
283,Stocks dive over the potential economic fallout from the omicron variant,Alabama
284,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
285,Wall Street closes sharply lower on new variant fear,Alabama
286,US consumer confidence falls in November as inflation bites,Alabama
287,“It’s Playing A Game With Us”: Researcher Says COVID Delta Variant Is Spreading In Alabama,Alabama
288,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
289,"3,891 COVID cases added in Alabama; latest county-by-county numbers",Alabama
290,"Alabama verifies more than 1,000 new COVID-19 deaths in past week",Alabama
291,"2,726 new COVID cases in Alabama, 1,087 from 3 counties",Alabama
292,"LeBron James Tests Positive For COVID-19, Will Miss Several Games",Alabama
293,"Alabama isn’t reporting school COVID outbreaks, contact tracing. Here’s why.",Alabama
294,Did America’s first COVID death occur in Alabama? The CDC is investigating,Alabama
295,Alabama Wants to Use $400 Million in COVID Relief Money to Build More Prisons,Alabama
296,Outbreak Alabama: Here’s why our COVID numbers are so bad again,Alabama
297,Outbreak Alabama: How the Delta variant and COVID misinformation are harming our state,Alabama
298,"Alabama schools report 6,382 COVID cases, consider mask changes",Alabama
299,6 Alabama counties ‘very high risk’ for COVID,Alabama
300,Alaska COVID-19 case counts and hospitalizations continue to drop as health officials watch global emergence of omicron variant,Alaska
301,Dozens of Alaska doctors are asking the State Medical Board to investigate physicians spreading COVID-19 misinformation,Alaska
302,An Alaska Railroad vaccine clinic honored a longtime engineer who died from COVID-19. A friend said it was a fitting tribute for a man who regretted not getting the shot.,Alaska
303,"Anchorage Mayor Bronson encourages, speaks at COVID-19 event featuring prominent vaccine skeptics",Alaska
304,Alaska health officials share recommendations for second holiday season with COVID-19,Alaska
305,10 states including Alaska sue feds over COVID-19 vaccine mandate for health care workers,Alaska
306,"Relief, excitement and some anxiety as newly eligible Alaska children receive COVID-19 vaccine",Alaska
307,"COVID-19 DATA SUMMARY – Nov. 30, 2021",Alaska
308,"Older Alaskans outpace nation in COVID-19 booster doses, health officials say",Alaska
309,"Regional COVID-19 case rates fall, but remain nearly 4 times higher than national rates",Alaska
310,A computer glitch led to incorrect COVID test results and short-lived panic for some Anchorage residents,Alaska
311,Strong friendships help a breakthrough COVID-19 case pass without serious complications,Alaska
312,Alaska Governor orders state agencies to ignore federal vaccine mandates,Alaska
313,Major COVID outbreak puts Savoonga into lockdown,Alaska
314,Take-home COVID-19 rapid tests will be available to incoming travelers at Anchorage International Airport starting this week,Alaska
315,Alaska Voices: Vaccination is the still best protection from COVID-19,Alaska
316,Canadian border relaxes COVID testing rules for residents returning from short trips to the U.S.,Alaska
317,The first U.S. case of the omicron variant has now been reported,Alaska
318,"Alaska News Nightly: Monday, November 29, 2021",Alaska
319,"State of the Schools: Superintendent talks district finances, Covid-19 and possible school closures",Alaska
320,Right-wing Wasilla legislator Christopher Kurka will run for Alaska governor in 2022,Alaska
321,The U.S. restricts travel from 8 countries as omicron variant spreads,Alaska
322,Feeling grateful this Thanksgiving for the COVID-19 vaccines,Alaska
323,1 (802) 731-7070 Alaska Airlines Cancellation Policy | Refund Policy | Test | laconiadailysun.com,Alaska
324,"Broadband Task Force Report, Comprehensive and Timely – Mike Dunleavy",Alaska
325,Boosters widely available in Juneau for anyone ages 18 and up – City and Borough of Juneau,Alaska
326,Indigenous metal band riffs on issues affecting Native people,Alaska
327,YK Delta continues to report some of the highest COVID-19 case rates in the nation,Alaska
328,'No one's having a ton of fun': Many Alaska cannabis businesses are struggling and failing,Alaska
329,First US case of COVID-19 omicron variant identified in California,Alaska
330,Why some researchers think the omicron variant could be the most infectious one yet,Alaska
331,COVID-19 cases in B.C. ICUs at low since August,Alaska
332,"The omicron variant is cause for concern — but not panic, Biden says",Alaska
333,"Citing 'misleading' statements on masks and COVID-19, Alaska pediatrician group questions whether Anchorage's chief medical officer is fit for the role",Alaska
334,Northern Dynasty Comments on Environmental Protection Agency's Statement on Future Actions Regarding Alaska's Pebble Project,Alaska
335,G7 health ministers closely monitoring new Omicron variant of COVID-19,Alaska
336,The World Health Organization warns of very high risk posed by the omicron variant,Alaska
337,"Alaska reports 686 COVID-19 cases Thursday, and state confirms 5 recent deaths at Ketchikan Pioneer Home",Alaska
338,A mom's and a pediatrician's view on COVID-19 vaccines for children,Alaska
339,COVID-19: Revised orders increase capacity limits for events in Northern B.C.,Alaska
340,School district will hear updates on COVID-19 guidelines Dec. 8,Alaska
341,Dunleavy again turns down COVID-19 emergency requested by House Democrats and independents,Alaska
342,"As COVID cases surge in Alaska, political strife escalates between Gov. Mike Dunleavy and his challengers",Alaska
343,Sitka grapples with spread of COVID-19 as one resident dies and Alaska sees almost 500 new infections,Alaska
344,+1-800-351-6976 Change Alaska Airlines Flight Ticket | Reschedule | | laconiadailysun.com,Alaska
345,Alaska announces weekly $49000 lottery to encourage COVID-19 vaccination,Alaska
346,"The North Slope has some of the lowest vaccination rates in Alaska. Now, it's seeing COVID-19 surge.",Alaska
347,Anchorage's public health manager resigns as city faces worst COVID-19 surge of the pandemic,Alaska
348,Alaska Department of Health and Social Services,Alaska
349,"Amid one of the nation's worst COVID-19 outbreaks, Anchorage officials say they're rationing testing",Alaska
350,Tracking COVID-19 in Alaska: 86 cases and 3 deaths reported Tuesday and Wednesday,Alaska
351,Tracking COVID-19 in Alaska: 41 cases and no deaths reported Friday,Alaska
352,"Reasons to get vaccinated against COVID-19, Alaska Department of Health and Social Services",Alaska
353,"In Interior Alaska, severe COVID-19 cases surge while vaccinations lag",Alaska
354,Researchers identify health inequities in access to COVID-19 treatment trials,Alaska
355,Omicron brings COVID-19 vaccine inequity 'home to roost',Alaska
356,"Gov. Dunleavy fully vaccinated against COVID-19, Alaska chief medical officer says",Alaska
357,Omicron 'an animal of its own',Alaska
358,NHL clears Islanders to return to action after two games postponed due to COVID-19,Alaska
359,Alaska Capitol's new COVID-19 policy requires testing but isn't enforced,Alaska
360,The COVID-19 delta variant is causing worry worldwide. Here's the latest on Alaska's outlook.,Alaska
361,COVID-19 Clinical Update,Alaska
362,"Governor Dunleavy Ends Alaska COVID-19 Emergency Declaration, Signs House Bill 76 – Mike Dunleavy",Alaska
363,"Loretta Marvin Obituary (1937 - 2021) - Juneau, AK - Juneau Empire",Alaska
364,Watch live: Gov. Dunleavy holds COVID-19 briefing at 1 pm Wednesday,Alaska
365,"As COVID-19 cases rise, Anchorage Mayor Bronson says he won't enact restrictions and doesn't plan to get vaccinated",Alaska
366,Covid is set to cost the tourism industry $1.6 trillion this year. Omicron could make it worse.,Alaska
367,Dunleavy Announces COVID-19 Vaccine Available to All Alaskans – Mike Dunleavy,Alaska
368,Gov. Dunleavy must do more to help Alaska combat COVID-19,Alaska
369,"Breakthrough COVID cases are rising in Alaska. Here's why, and why vaccines are still 'amazing.'",Alaska
370,Contact Tracting,Alaska
371,Update: Lawmakers stop working on bill to aid Alaska hospitals facing COVID-19 surge,Alaska
372,Kenai Peninsula Borough mayor promotes debunked treatment for COVID-19,Alaska
373,Alaska reports 55 COVID-19 cases in 2 days as state alert level drops to low for first time in nearly a year,Alaska
374,Bristol Bay likely experiencing widespread community transmission of COVID-19,Alaska
375,Alaska pediatricians criticize Anchorage's chief medical officer over 'grossly misleading' comments on COVID,Alaska
376,"Alaska reports 2 deaths, 84 COVID-19 cases Wednesday as kids as young as 12 officially become eligible for vaccine",Alaska
